Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Fine Amount,County
KKX9418,NY,PAS,5601184240,1/3/2022,05:50P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KHP8830,NY,PAS,5601184252,1/3/2022,05:56P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KKR1833,NY,PAS,5601183491,1/3/2022,03:03P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KLE5345,NY,PAS,5601183570,1/3/2022,03:24P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JMT5705,NY,PAS,5601182711,1/3/2022,07:14A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KGE4459,NY,PAS,5601182796,1/3/2022,07:49A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
CGW3681,NY,999,5601182723,1/3/2022,07:15A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
GCE4482,NY,PAS,5601182760,1/3/2022,07:40A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
EAB1395,NY,PAS,5601182735,1/3/2022,07:30A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
MONTE29,NY,COM,5601182759,1/3/2022,07:35A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HHS1744,NY,PAS,5601182826,1/3/2022,08:30A,MOBILE BUS LANE VIOLATION,$150.00 ,MN
79410MJ,NY,COM,5601182875,1/3/2022,08:42A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
61085MC,NY,COM,5601182863,1/3/2022,08:40A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
KPY2815,NY,999,5601182887,1/3/2022,08:47A,MOBILE BUS LANE VIOLATION,$200.00 ,MN
KRA3788,NY,PAS,5601182929,1/3/2022,08:54A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
60082MJ,NY,COM,5601182954,1/3/2022,09:14A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
64533JW,NY,COM,5601182930,1/3/2022,09:08A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
92828MK,NY,COM,5601182942,1/3/2022,09:13A,MOBILE BUS LANE VIOLATION,$100.00 ,MN
80094MN,NY,COM,5601183004,1/3/2022,09:37A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
12901JY,NY,COM,5601183028,1/3/2022,09:39A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
JKV8629,NY,PAS,5601183065,1/3/2022,09:44A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
63361NA,NY,COM,5601183041,1/3/2022,09:41A,MOBILE BUS LANE VIOLATION,$200.00 ,MN
JFD1541,NY,999,5601183030,1/3/2022,09:41A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
87486MN,NY,COM,5601183089,1/3/2022,09:50A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
HWS7146,NY,PAS,5601183090,1/3/2022,09:51A,MOBILE BUS LANE VIOLATION,$150.00 ,MN
HRH3756,NY,PAS,5601183156,1/3/2022,10:32A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
87999MK,NY,COM,5601183107,1/3/2022,09:52A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
GUL8875,NY,PAS,5601183119,1/3/2022,09:52A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
15147ML,NY,COM,5601183120,1/3/2022,09:53A,MOBILE BUS LANE VIOLATION,$100.00 ,MN
JPL9583,NY,PAS,5601183181,1/3/2022,10:45A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KSG3907,NY,PAS,5601183168,1/3/2022,10:37A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HNR6551,NY,PAS,5601183223,1/3/2022,11:00A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JNX9684,NY,PAS,5601183247,1/3/2022,11:10A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KTL1063,NY,999,5601183235,1/3/2022,11:08A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
21992TT,NY,TOW,5601183260,1/3/2022,11:57A,MOBILE BUS LANE VIOLATION,$100.00 ,MN
T795941C,NY,OMT,5601183284,1/3/2022,12:05P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
GG0206,NY,SPO,5601183272,1/3/2022,12:04P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
AIYA,NY,SRF,5601183302,1/3/2022,12:16P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KSB5324,NY,RGL,5601183351,1/3/2022,01:02P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
62620NB,NY,COM,5601183314,1/3/2022,12:23P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KNX3066,NY,OMS,5601183338,1/3/2022,01:00P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
21713MG,NY,COM,5601183405,1/3/2022,02:30P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JJZ3352,NY,PAS,5601183454,1/3/2022,02:42P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
96669MJ,NY,COM,5601183466,1/3/2022,02:43P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KSD2869,NY,999,5601183430,1/3/2022,02:38P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
67249MN,NY,COM,5601183442,1/3/2022,02:38P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JSB3164,NY,PAS,5601183480,1/3/2022,02:57P,MOBILE BUS LANE VIOLATION,$150.00 ,MN
T785444C,NY,OMT,5601183478,1/3/2022,02:51P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HRG4702,NY,PAS,5601183624,1/3/2022,03:34P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
90721MJ,NY,COM,5601183650,1/3/2022,03:39P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
JGK5085,NY,PAS,5601183697,1/3/2022,03:47P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
75576ME,NY,COM,5601183727,1/3/2022,03:55P,MOBILE BUS LANE VIOLATION,$200.00 ,MN
15868MC,NY,COM,5601183739,1/3/2022,04:01P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
48863MH,NY,COM,5601183740,1/3/2022,04:04P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
EWD4797,NY,PAS,5601183806,1/3/2022,04:37P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KSM4384,NY,999,5601183818,1/3/2022,04:37P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KTP3724,NY,999,5601183790,1/3/2022,04:28P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
48234MK,NY,COM,5601183909,1/3/2022,04:53P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
29110ML,NY,COM,5601183892,1/3/2022,04:51P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
KSY6183,NY,999,5601183922,1/3/2022,04:54P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KLA5013,NY,999,5601183971,1/3/2022,04:55P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HLG2357,NY,999,5601183958,1/3/2022,04:55P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
86239MM,NY,COM,5601183983,1/3/2022,04:56P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
KGW4300,NY,PAS,5601184010,1/3/2022,04:58P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
DZE8593,NY,PAS,5601184100,1/3/2022,05:23P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
T679632C,NY,OMT,5601184161,1/3/2022,05:37P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KGJ3262,NY,PAS,5601184150,1/3/2022,05:31P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KPH6048,NY,PAS,5601184185,1/3/2022,05:41P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KDT6468,NY,PAS,5601184215,1/3/2022,05:43P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JEL8646,NY,PAS,5601184227,1/3/2022,05:43P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
GXR1233,NY,PAS,5601184290,1/3/2022,06:03P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
T735921C,NY,OMT,5601184306,1/3/2022,06:04P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KLT8101,NY,PAS,5601184288,1/3/2022,06:01P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KHD7497,NY,999,5601184331,1/3/2022,06:12P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HWS3283,NY,PAS,5601184367,1/3/2022,06:24P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KHY1785,NY,PAS,5601184410,1/3/2022,06:38P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
DKJ1817,NY,PAS,5601184392,1/3/2022,06:29P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KDB3158,NY,PAS,5601184422,1/3/2022,06:39P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
121138,NY,STA,5601184446,1/3/2022,06:44P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JMR6794,NY,PAS,5601184434,1/3/2022,06:39P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KUB4685,NY,PAS,5601184460,1/3/2022,06:52P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JNB4603,NY,PAS,5601184471,1/3/2022,07:07P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
80173MM,NY,COM,5601184495,1/3/2022,07:17P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
T792129C,NY,OMT,5601184483,1/3/2022,07:07P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
T783221C,NY,OMT,5601184501,1/3/2022,07:35P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KTF8116,NY,999,5601184513,1/3/2022,08:31P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KFR4517,NY,PAS,5601183788,1/3/2022,04:26P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
KHY4221,NY,PAS,5601184203,1/3/2022,05:43P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HCP8709,NY,PAS,5601183510,1/3/2022,03:03P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
83419MH,NY,COM,5601183880,1/3/2022,04:51P,MOBILE BUS LANE VIOLATION,$200.00 ,MN
29077ML,NY,COM,5601184070,1/3/2022,05:14P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KLT6208,NY,PAS,5601184112,1/3/2022,05:23P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
HEH6064,NY,PAS,5601184136,1/3/2022,05:23P,MOBILE BUS LANE VIOLATION,$150.00 ,MN
KST6202,NY,999,5601182966,1/3/2022,09:26A,MOBILE BUS LANE VIOLATION,$100.00 ,MN
KFY9651,NY,PAS,5601184045,1/3/2022,05:05P,MOBILE BUS LANE VIOLATION,$250.00 ,MN
JPW5305,NY,999,5601183673,1/3/2022,03:43P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
97974NB,NY,COM,5601184320,1/3/2022,06:10P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KSM3857,NY,999,5601183703,1/3/2022,03:47P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JFS3817,NY,999,5601183960,1/3/2022,04:55P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
GJH3923,NY,999,5601183715,1/3/2022,03:47P,MOBILE BUS LANE VIOLATION,$200.00 ,MN
KHD1266,NY,999,5601183946,1/3/2022,04:54P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
HYK9649,NY,PAS,5601184343,1/3/2022,06:15P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
LY221,NY,PAS,8763132254,1/3/2022,11:19A,MISUSE PARKING PERMIT,$65.00 ,K
T661496C,NY,OMT,5601183200,1/3/2022,10:47A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
14417NC,NY,COM,5601184033,1/3/2022,05:04P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KRS8940,NY,PAS,5601183612,1/3/2022,03:33P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
KRK7484,NY,PAS,5601184318,1/3/2022,06:08P,MOBILE BUS LANE VIOLATION,$100.00 ,MN
T794298C,NY,OMT,5601183545,1/3/2022,03:05P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JGL3817,NY,PAS,8966549986,1/3/2022,02:53P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,BX
HLP3387,NY,PAS,8934786930,1/3/2022,09:07A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
KSS4954,NY,PAS,8833771404,1/3/2022,03:11P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,Q
40001NB,NY,COM,8875400714,1/3/2022,01:37P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
KSZ5471,NY,PAS,8879071361,1/3/2022,12:02P,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,Q
KHK7027,NY,PAS,8934786929,1/3/2022,09:06A,NO STAND TAXI/FHV RELIEF STAND,$115.00 ,NY
34708NC,NY,COM,8848324897,1/4/2022,06:22P,NO STANDING-FOR HIRE VEH STND,$115.00 ,NY
T705366C,NY,OMT,8889887618,1/4/2022,06:44P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
T689800C,NY,OMT,8906359937,1/4/2022,04:31P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,R
KSX6589,NY,PAS,8849784041,1/4/2022,11:09A,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
GMS5299,NY,PAS,8889887485,1/4/2022,04:02P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
GPW8354,NY,PAS,1486342863,1/4/2022,03:25P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
FZY2138,NY,PAS,1478517219,1/4/2022,10:38A,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,BX
JKV6408,NY,PAS,1478517268,1/4/2022,02:29P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,
BRONX51,NY,SRF,1478517270,1/4/2022,02:33P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,BX
GAX3124,NY,PAS,1478509028,1/4/2022,09:02P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,BX
HXH7510,NY,PAS,1478509200,1/4/2022,09:10A,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,BX
HDV13,NY,SRF,1486342838,1/4/2022,01:26P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
EWU1899,NY,PAS,1486342875,1/4/2022,03:28P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
DTN6922,NY,PAS,1486342887,1/4/2022,03:32P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
JPA8713,NY,PAS,1486336826,1/4/2022,01:24P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
KFL8777,NY,PAS,1486342851,1/4/2022,03:22P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
KTY7553,NY,PAS,1486342840,1/4/2022,01:33P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,NY
KSH1405,NY,PAS,8889887643,1/4/2022,06:58P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
HWL9930,NY,PAS,8889887631,1/4/2022,06:51P,NO PARKING-EXC. DSBLTY PERMIT,$180.00 ,Q
HXN5346,NY,PAS,8937267627,1/4/2022,01:44P,MISUSE PARKING PERMIT,$65.00 ,NY
HWM3820,NY,PAS,8968473869,1/4/2022,08:34P,MISUSE PARKING PERMIT,$65.00 ,BX
KMM3732,NY,PAS,8968473997,1/4/2022,10:02P,MISUSE PARKING PERMIT,$65.00 ,BX
JNK1462,NY,PAS,8901696988,1/4/2022,10:18A,MISUSE PARKING PERMIT,$65.00 ,K
HGZ5674,NY,PAS,8839281113,1/4/2022,08:14P,MISUSE PARKING PERMIT,$65.00 ,NY
N6A900,NY,PAS,8877594615,1/4/2022,07:26A,MISUSE PARKING PERMIT,$65.00 ,K
ETF6330,NY,PAS,8955934014,1/4/2022,08:34P,MISUSE PARKING PERMIT,$65.00 ,NY
RSGRSG,NY,SRF,8991276647,1/4/2022,01:48P,MISUSE PARKING PERMIT,$65.00 ,K
KNF5969,NY,PAS,8982398399,1/4/2022,01:03P,MISUSE PARKING PERMIT,$65.00 ,K
GLV7259,NY,PAS,8893600146,1/4/2022,02:25P,MISUSE PARKING PERMIT,$65.00 ,NY
Y200003C,NY,OMT,8935544656,1/4/2022,09:07A,PCKP DSCHRGE IN PRHBTD ZONE,$115.00 ,NY
JPP6176,NY,PAS,8936170715,1/4/2022,08:36A,FRAUDULENT USE PARKING PERMIT,$65.00 ,NY
FDV5555,NY,PAS,8607397060,1/4/2022,05:45A,FRAUDULENT USE PARKING PERMIT,$65.00 ,NY
KRT3044,NY,PAS,8607397187,1/4/2022,06:04A,FRAUDULENT USE PARKING PERMIT,$65.00 ,NY
T711127C,NY,OMT,5601185037,1/4/2022,10:16A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
NYP5549,NY,PAS,5601186110,1/4/2022,06:29P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
NYP2765,NY,PAS,5601186121,1/4/2022,06:29P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
76724MK,NY,COM,5601184720,1/4/2022,08:28A,MOBILE BUS LANE VIOLATION,$250.00 ,MN
HBX9512,NY,PAS,5601185104,1/4/2022,11:08A,MOBILE BUS LANE VIOLATION,$50.00 ,MN
JJG8768,NY,PAS,5601185499,1/4/2022,03:31P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
GPY9518,NY,PAS,5601185669,1/4/2022,04:31P,MOBILE BUS LANE VIOLATION,$150.00 ,MN
JMT7780,NY,PAS,5601185645,1/4/2022,04:30P,MOBILE BUS LANE VIOLATION,$50.00 ,MN
